title_primary,title_searchable,platform,platform_short,release_year,genre_primary,developer,alternative_names,series,folder_patterns
Farming Simulator 22,farming simulator 22,PC,PC,2021,Simulation,Giants,FS22,Farming Simulator,fs22|farming.simulator.22
House Flipper,house flipper,PC,PC,2018,Simulation,Empyrean,,House Flipper,house.flipper
PowerWash Simulator,powerwash simulator,PC,PC,2022,Simulation,FuturLab,,PowerWash Simulator,powerwash.simulator|powerwash
Life is Strange,life is strange,PC,PC,2015,Adventure,Dontnod,LIS,Life is Strange,lis|life.is.strange
Detroit Become Human,detroit become human,PC,PC,2019,Adventure,Quantic,,Detroit,detroit.become.human
Outer Wilds,outer wilds,PC,PC,2019,Adventure,Mobius,,Outer Wilds,outer.wilds
The Forest,the forest,PC,PC,2014,Survival,Endnight,,The Forest,the.forest
Sons of the Forest,sons of the forest,PC,PC,2023,Survival,Endnight,Sons of Forest,The Forest,sons.of.the.forest
7 Days to Die,7 days to die,PC,PC,2013,Survival,The Fun Pimps,7DTD,7 Days,7.days.to.die|7dtd
ARK Survival Evolved,ark survival evolved,PC,PC,2015,Survival,Studio Wildcard,ARK,ARK,ark|ark.survival.evolved
DayZ,dayz,PC,PC,2018,Survival,Bohemia,,DayZ,dayz
Project Zomboid,project zomboid,PC,PC,2013,Survival,The Indie Stone,PZ,Project Zomboid,project.zomboid|pz
BeamNG Drive,beamng drive,PC,PC,2015,Racing,BeamNG,,BeamNG Drive,beamng.drive|beamng
FIFA 24,fifa 24,PC,PC,2023,Sports,EA,FC 24,FIFA,fifa.24|fc.24|fc24
Football Manager 2024,football manager 2024,PC,PC,2023,Simulation,Sports Interactive,FM2024,Football Manager,fm2024|football.manager.2024|fm.24
NBA 2K24,nba 2k24,PC,PC,2023,Sports,2K,NBA2K24,NBA 2K,nba.2k24|nba2k24
Baba Is You,baba is you,PC,PC,2019,Puzzle,Hempuli,,Baba Is You,baba.is.you
The Witness,the witness,PC,PC,2016,Puzzle,Thekla,,The Witness,the.witness
Return of the Obra Dinn,return of the obra dinn,PC,PC,2018,Puzzle,3909 LLC,,Return of the Obra Dinn,obra.dinn|return.of.the.obra.dinn
Fez,fez,PC,PC,2012,Puzzle,Polytron,,Fez,fez
Inside,inside,PC,PC,2016,Puzzle,Playdead,,Inside,inside
Limbo,limbo,PC,PC,2010,Puzzle,Playdead,,Limbo,limbo
Little Nightmares,little nightmares,PC,PC,2017,Horror,Tarsier,,Little Nightmares,little.nightmares
Five Nights at Freddy's,five nights at freddys,PC,PC,2014,Horror,Scott Cawthon,FNAF,Five Nights,fnaf|five.nights.at.freddys
FNAF Security Breach,fnaf security breach,PC,PC,2021,Horror,Steel Wool,FNAF SB,Five Nights,fnaf.security.breach|security.breach
Resident Evil Village,resident evil village,PC,PC,2021,Survival Horror,Capcom,RE8,Resident Evil,re8|resident.evil.village
Resident Evil 7,resident evil 7,PC,PC,2017,Survival Horror,Capcom,RE7,Resident Evil,re7|resident.evil.7
Resident Evil 2 Remake,resident evil 2 remake,PC,PC,2019,Survival Horror,Capcom,RE2 Remake,Resident Evil,re2.remake|resident.evil.2.remake
Resident Evil 4 Remake,resident evil 4 remake,PC,PC,2023,Survival Horror,Capcom,RE4 Remake,Resident Evil,re4.remake|resident.evil.4.remake
Devil May Cry 5,devil may cry 5,PC,PC,2019,Hack and Slash,Capcom,DMC5,Devil May Cry,dmc5|devil.may.cry.5
Monster Hunter World,monster hunter world,PC,PC,2018,Action RPG,Capcom,MHW,Monster Hunter,mhw|monster.hunter.world
Street Fighter 6,street fighter 6,PC,PC,2023,Fighting,Capcom,SF6,Street Fighter,sf6|street.fighter.6
Tekken 8,tekken 8,PC,PC,2024,Fighting,Bandai Namco,T8,Tekken,tekken.8|t8
Mortal Kombat 11,mortal kombat 11,PC,PC,2019,Fighting,NetherRealm,MK11,Mortal Kombat,mk11|mortal.kombat.11
Mortal Kombat 1,mortal kombat 1,PC,PC,2023,Fighting,NetherRealm,MK1|Mortal Kombat 12,Mortal Kombat,mk1|mortal.kombat.1|mortal.kombat.12
Injustice 2,injustice 2,PC,PC,2017,Fighting,NetherRealm,,Injustice,injustice.2
Guilty Gear Strive,guilty gear strive,PC,PC,2021,Fighting,Arc System Works,GGStrive,Guilty Gear,ggstrive|guilty.gear.strive
Granblue Fantasy Versus,granblue fantasy versus,PC,PC,2020,Fighting,Arc System Works,GBVS,Granblue,gbvs|granblue.fantasy.versus
The King of Fighters 15,king of fighters 15,PC,PC,2022,Fighting,SNK,KOF XV,KOF,kof.15|kof.xv|king.of.fighters.15
Soulcalibur 6,soulcalibur 6,PC,PC,2018,Fighting,Bandai Namco,SC6,Soulcalibur,sc6|soulcalibur.6
